date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:12:59	60290/60290	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202024%2007:07:32%20GMT	https://azim.hostlin.com/Jobaway/index.html	C:/Users/Administrator/Desktop/CuartoCreativov2/azim.hostlin.com/Jobaway/index.html	(from )
16:12:59	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Sep%202025%2022:11:56%20GMT	https://azim.hostlin.com/robots.txt		(from )
16:12:59	15086/15086	---M-Z	200	added ('OK')	image/x-icon	date:Sun,%2002%20Jun%202024%2012:51:32%20GMT	https://azim.hostlin.com/Jobaway/assets/images/favicon.ico	C:/Users/Administrator/Desktop/CuartoCreativov2/azim.hostlin.com/Jobaway/assets/images/favicon.ico	(from https://azim.hostlin.com/Jobaway/index.html)
16:13:00	99365/99365	---M-Z	200	added ('OK')	text/css	date:Sun,%2018%20Oct%202020%2017:36:18%20GMT	https://azim.hostlin.com/Jobaway/assets/css/font-awesome-all.css	C:/Users/Administrator/Desktop/CuartoCreativov2/azim.hostlin.com/Jobaway/assets/css/font-awesome-all.css	(from https://azim.hostlin.com/Jobaway/index.html)
16:13:00	2687/2687	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jun%202024%2007:43:48%20GMT	https://azim.hostlin.com/Jobaway/assets/css/flaticon.css	C:/Users/Administrator/Desktop/CuartoCreativov2/azim.hostlin.com/Jobaway/assets/css/flaticon.css	(from https://azim.hostlin.com/Jobaway/index.html)
16:13:00	5687/5687	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Oct%202019%2020:49:16%20GMT	https://azim.hostlin.com/Jobaway/assets/css/owl.css	C:/Users/Administrator/Desktop/CuartoCreativov2/azim.hostlin.com/Jobaway/assets/css/owl.css	(from https://azim.hostlin.com/Jobaway/index.html)
16:13:00	237872/237872	---M-Z	200	added ('OK')	text/css	date:Sun,%2021%20Aug%202022%2008:15:30%20GMT	https://azim.hostlin.com/Jobaway/assets/css/bootstrap.css	C:/Users/Administrator/Desktop/CuartoCreativov2/azim.hostlin.com/Jobaway/assets/css/bootstrap.css	(from https://azim.hostlin.com/Jobaway/index.html)
16:13:00	13735/13735	---M-Z	200	added ('OK')	text/css	date:Mon,%2012%20Nov%202018%2010:52:20%20GMT	https://azim.hostlin.com/Jobaway/assets/css/jquery.fancybox.min.css	C:/Users/Administrator/Desktop/CuartoCreativov2/azim.hostlin.com/Jobaway/assets/css/jquery.fancybox.min.css	(from https://azim.hostlin.com/Jobaway/index.html)
16:13:01	87995/87995	---M-Z	200	added ('OK')	text/css	date:Wed,%2007%20Apr%202021%2016:49:34%20GMT	https://azim.hostlin.com/Jobaway/assets/css/animate.css	C:/Users/Administrator/Desktop/CuartoCreativov2/azim.hostlin.com/Jobaway/assets/css/animate.css	(from https://azim.hostlin.com/Jobaway/index.html)
16:13:01	3068/3068	---M-Z	200	added ('OK')	text/css	date:Fri,%2026%20Jan%202024%2008:09:56%20GMT	https://azim.hostlin.com/Jobaway/assets/css/nice-select.css	C:/Users/Administrator/Desktop/CuartoCreativov2/azim.hostlin.com/Jobaway/assets/css/nice-select.css	(from https://azim.hostlin.com/Jobaway/index.html)
16:13:01	3038/3038	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Mar%202024%2010:43:34%20GMT	https://azim.hostlin.com/Jobaway/assets/css/odometer.css	C:/Users/Administrator/Desktop/CuartoCreativov2/azim.hostlin.com/Jobaway/assets/css/odometer.css	(from https://azim.hostlin.com/Jobaway/index.html)
16:13:01	58479/58479	---M-Z	200	added ('OK')	text/css	date:Sat,%2006%20Aug%202022%2010:30:00%20GMT	https://azim.hostlin.com/Jobaway/assets/css/elpath.css	C:/Users/Administrator/Desktop/CuartoCreativov2/azim.hostlin.com/Jobaway/assets/css/elpath.css	(from https://azim.hostlin.com/Jobaway/index.html)
16:13:01	7975/7975	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jun%202024%2010:13:08%20GMT	https://azim.hostlin.com/Jobaway/assets/css/color.css	C:/Users/Administrator/Desktop/CuartoCreativov2/azim.hostlin.com/Jobaway/assets/css/color.css	(from https://azim.hostlin.com/Jobaway/index.html)
16:13:02	2273/2273	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Jun%202024%2006:30:02%20GMT	https://azim.hostlin.com/Jobaway/assets/css/rtl.css	C:/Users/Administrator/Desktop/CuartoCreativov2/azim.hostlin.com/Jobaway/assets/css/rtl.css	(from https://azim.hostlin.com/Jobaway/index.html)
16:13:02	34938/34938	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jun%202024%2006:02:48%20GMT	https://azim.hostlin.com/Jobaway/assets/css/style.css	C:/Users/Administrator/Desktop/CuartoCreativov2/azim.hostlin.com/Jobaway/assets/css/style.css	(from https://azim.hostlin.com/Jobaway/index.html)
16:13:02	19420/19420	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Jun%202024%2008:43:28%20GMT	https://azim.hostlin.com/Jobaway/assets/css/module-css/header.css	C:/Users/Administrator/Desktop/CuartoCreativov2/azim.hostlin.com/Jobaway/assets/css/module-css/header.css	(from https://azim.hostlin.com/Jobaway/index.html)
16:13:02	17657/17657	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Jun%202024%2009:20:42%20GMT	https://azim.hostlin.com/Jobaway/assets/css/module-css/banner.css	C:/Users/Administrator/Desktop/CuartoCreativov2/azim.hostlin.com/Jobaway/assets/css/module-css/banner.css	(from https://azim.hostlin.com/Jobaway/index.html)
16:13:03	2670/2670	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Jun%202024%2018:30:58%20GMT	https://azim.hostlin.com/Jobaway/assets/css/module-css/clients.css	C:/Users/Administrator/Desktop/CuartoCreativov2/azim.hostlin.com/Jobaway/assets/css/module-css/clients.css	(from https://azim.hostlin.com/Jobaway/index.html)
16:13:03	11339/11339	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Jun%202024%2007:03:46%20GMT	https://azim.hostlin.com/Jobaway/assets/css/module-css/about.css	C:/Users/Administrator/Desktop/CuartoCreativov2/azim.hostlin.com/Jobaway/assets/css/module-css/about.css	(from https://azim.hostlin.com/Jobaway/index.html)
16:13:03	1282/1282	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Jun%202024%2008:17:00%20GMT	https://azim.hostlin.com/Jobaway/assets/css/module-css/funfact.css	C:/Users/Administrator/Desktop/CuartoCreativov2/azim.hostlin.com/Jobaway/assets/css/module-css/funfact.css	(from https://azim.hostlin.com/Jobaway/index.html)
16:13:03	5869/5869	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Jun%202024%2007:09:02%20GMT	https://azim.hostlin.com/Jobaway/assets/css/module-css/chooseus.css	C:/Users/Administrator/Desktop/CuartoCreativov2/azim.hostlin.com/Jobaway/assets/css/module-css/chooseus.css	(from https://azim.hostlin.com/Jobaway/index.html)
16:13:03	1865/1865	---M-Z	200	added ('OK')	text/css	date:Sat,%2008%20Jun%202024%2014:11:32%20GMT	https://azim.hostlin.com/Jobaway/assets/css/module-css/category.css	C:/Users/Administrator/Desktop/CuartoCreativov2/azim.hostlin.com/Jobaway/assets/css/module-css/category.css	(from https://azim.hostlin.com/Jobaway/index.html)
